Validation Rewards,External Rewards
255608.5587599563,-3599949.7999999872
255608.5587599563,-3599949.7999999872
255608.5587599563,-3599949.7999999872
255608.5587599563,-3599949.7999999872
255338.43616801233,-3599767.7799999868
257510.93616801233,-3590629.2399999867
257915.89238517522,-3590913.8399999873
257781.0587599563,-3590811.259999987
257510.93616801233,-3590629.2399999867
257781.0587599563,-3590811.259999987
257781.0587599563,-3590811.259999987
257781.0587599563,-3590811.259999987
257781.0587599563,-3590811.259999987
257781.0587599563,-3590811.259999987
257781.0587599563,-3590811.259999987
257781.0587599563,-3590811.259999987
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
250296.3857219647,-3615928.1999999885
241575.3857219647,-3612933.4999999856
249423.8857219647,-3594711.8999999883
249423.8857219647,-3594711.8999999883
249423.8857219647,-3594711.8999999883
249423.8857219647,-3594711.8999999883
249423.8857219647,-3594711.8999999883
249423.8857219647,-3594711.8999999883
249423.8857219647,-3594711.8999999883
240762.8857219647,-3602994.5399999865
243825.3857219647,-3592295.4399999846
243825.3857219647,-3592295.4399999846
243825.3857219647,-3592295.4399999846
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247433.8857219647,-3575007.359999986
247380.8857219647,-3575899.4599999855
246768.3857219647,-3578048.399999986
246768.3857219647,-3578048.399999986
252280.8106840668,-3553668.319999984
248451.2937563255,-3564173.3199999826
252438.2937563255,-3539154.139999982
252936.47668315476,-3522855.0399999837
252936.47668315476,-3522855.0399999837
252936.47668315476,-3522855.0399999837
256510.2937563255,-3523123.139999984
256510.2937563255,-3523123.139999984
253794.2937563255,-3524830.279999984
253794.2937563255,-3524830.279999984
253794.2937563255,-3524830.279999984
255299.49778434655,-3523458.039999984
255299.49778434655,-3523458.039999984
255299.49778434655,-3523458.039999984
255299.49778434655,-3523458.039999984
262743.9190174263,-3487005.47999998
262743.9190174263,-3487005.47999998
262743.9190174263,-3487005.47999998
262065.98091563812,-3484397.5599999805
262065.98091563812,-3484397.5599999805
261738.35832369415,-3484041.8399999803
261738.35832369415,-3484041.8399999803
263947.8033621572,-3480695.259999981
263947.8033621572,-3480695.259999981
263947.8033621572,-3480695.259999981
263947.8033621572,-3480695.259999981
261738.35832369415,-3484041.8399999803
261738.35832369415,-3484041.8399999803
